order_id,order_date,product,category,region,sales_rep,channel,quantity,unit_price,sales
1000,2024-01-01,Mechanical Keyboard,Electronics,South,Bob Chen,Online,1,70.55,61.73
1001,2024-01-01,Mechanical Keyboard,Electronics,North,Eve Torres,Retail Store,6,70.54,370.34
1002,2024-01-01,Wireless Mouse,Electronics,South,Eve Torres,Partner,1,23.09,20.2
1003,2024-01-01,Wireless Mouse,Electronics,West,Bob Chen,Retail Store,5,23.74,103.86
1004,2024-01-01,Monitor 27in,Electronics,North,Bob Chen,Partner,3,242.52,636.62
1005,2024-01-02,Notebook Set,Stationery,East,Alice Kim,Online,3,11.27,29.58
1006,2024-01-02,Pen Pack,Stationery,East,Eve Torres,Retail Store,1,7.92,6.93
1007,2024-01-02,Wireless Mouse,Electronics,North,David Lee,Online,6,25.37,133.19
1008,2024-01-03,Standing Desk,Furniture,East,Eve Torres,Online,6,442.94,2325.43
1009,2024-01-03,Mechanical Keyboard,Electronics,East,Alice Kim,Online,1,69.25,60.59
1010,2024-01-03,Mechanical Keyboard,Electronics,East,Bob Chen,Retail Store,4,63.02,220.57
1011,2024-01-03,Notebook Set,Stationery,North,Eve Torres,Partner,2,12.81,22.42
1012,2024-01-04,Webcam HD,Electronics,West,David Lee,Retail Store,6,52.87,277.57
1013,2024-01-05,Webcam HD,Electronics,North,Bob Chen,Online,2,58.91,103.09
1014,2024-01-05,Notebook Set,Stationery,South,Eve Torres,Partner,4,11.6,40.6
1015,2024-01-05,Notebook Set,Stationery,West,David Lee,Online,2,12.77,22.35
1016,2024-01-05,Standing Desk,Furniture,East,Eve Torres,Retail Store,2,403.9,706.82
1017,2024-01-05,Monitor 27in,Electronics,South,Eve Torres,Retail Store,4,217.91,762.68
1018,2024-01-07,Wireless Mouse,Electronics,South,David Lee,Partner,1,23.46,20.53
1019,2024-01-07,Mechanical Keyboard,Electronics,West,Eve Torres,Retail Store,4,64.7,226.45
1020,2024-01-07,Webcam HD,Electronics,North,Eve Torres,Retail Store,1,58.85,51.49
1021,2024-01-07,Notebook Set,Stationery,South,David Lee,Online,1,11.68,10.22
1022,2024-01-07,Standing Desk,Furniture,North,Carla Diaz,Partner,5,458.01,2003.79
1023,2024-01-07,Webcam HD,Electronics,East,Bob Chen,Partner,5,52.24,228.55
1024,2024-01-08,Webcam HD,Electronics,West,Alice Kim,Online,1,57.74,50.52
1025,2024-01-08,Notebook Set,Stationery,South,Eve Torres,Online,3,11.52,30.24
1026,2024-01-08,Mechanical Keyboard,Electronics,North,Eve Torres,Online,6,66.4,348.6
1027,2024-01-08,USB-C Hub,Electronics,South,Carla Diaz,Partner,6,35.66,187.21
1028,2024-01-08,Monitor 27in,Electronics,South,Carla Diaz,Retail Store,4,251.04,878.64
1029,2024-01-08,Notebook Set,Stationery,West,Alice Kim,Online,4,13.5,47.25
1030,2024-01-09,Mechanical Keyboard,Electronics,South,Eve Torres,Online,3,58.84,154.46
1031,2024-01-12,Wireless Mouse,Electronics,North,Carla Diaz,Online,2,22.92,40.11
1032,2024-01-12,Webcam HD,Electronics,West,Bob Chen,Partner,2,53.33,93.33
1033,2024-01-12,USB-C Hub,Electronics,West,Bob Chen,Retail Store,6,39.69,208.37
1034,2024-01-12,Pen Pack,Stationery,West,Carla Diaz,Retail Store,2,7.39,12.93
1035,2024-01-12,Pen Pack,Stationery,North,Alice Kim,Online,4,8.93,31.25
1036,2024-01-13,Notebook Set,Stationery,South,Eve Torres,Retail Store,1,11.55,10.11
1037,2024-01-13,USB-C Hub,Electronics,West,Bob Chen,Online,4,33.11,115.88
1038,2024-01-13,Desk Lamp,Furniture,North,Alice Kim,Online,5,36.98,161.79
1039,2024-01-14,Pen Pack,Stationery,West,Alice Kim,Online,4,8.16,28.56
1040,2024-01-15,Wireless Mouse,Electronics,West,Carla Diaz,Retail Store,4,24.16,84.56
